,AAG,AAS,AASO,AAF,AAC,AAY,AAR,HAG,HAS,HASO,HAF,HAC,HAY,HAR,TeamName
2066,2.2333745359087134,-0.06139207082588774,1.6013222094156365,1.311439825707546,0.25665749663634124,1.9086893323603886,-0.5801057629598292,0.6319651013664093,1.7147720739737293,0.2912567161174502,-0.08927723232797218,-0.47458244680833495,-0.489832063905683,1.180820247753968,Nantes
2058,-0.16438388053456285,-0.17071352906634485,0.086683464211963,-0.08323887166755842,0.6224832219949136,-0.5108630859770129,1.1426058881970538,-0.9628198159437945,0.8266101131396172,0.07403514849479398,-0.5147209263194693,2.7944127176950695,-0.489832063905683,-0.5764917103103022,Lille
2065,0.6348689249465291,0.48521522037639786,0.086683464211963,0.8930362164950146,-0.840819679439376,0.940868365025428,-0.5801057629598292,-0.16542735728869262,0.6045696229310891,0.9429214189854187,-1.2237937496386313,-0.11136076186351222,-0.489832063905683,-0.5764917103103022,Reims
1120,1.0344953276870752,1.0318225115786834,1.1685682822145869,-0.08323887166755842,-0.4749939540808036,1.4247788486929085,-0.5801057629598292,1.4293575600215112,0.38252913272256106,0.07403514849479398,-1.0819791849747988,-0.11136076186351222,-0.489832063905683,1.180820247753968,Bastia
361,1.0344953276870752,-1.1546066532304589,0.086683464211963,-0.5016424808800898,0.6224832219949136,0.940868365025428,-0.5801057629598292,-0.5641235866162436,-1.060734053632871,-1.012072689618487,0.33616646166352504,0.978304292970956,-0.489832063905683,-0.5764917103103022,Evian Thonon Gaillard
1882,0.23524252220598316,0.1572508456550265,0.9521913186140621,0.7535683467575043,-0.4749939540808036,-0.9947735696444931,-0.5801057629598292,2.625446248004164,-0.5056328281115511,0.9429214189854187,-2.0746811376216256,-1.2010258166979804,-0.489832063905683,-0.5764917103103022,Guingamp
2052,1.0344953276870752,0.26657230389548364,0.5194373914130126,1.0325040862325252,-0.10916822872223118,-0.026952602309532562,-0.5801057629598292,0.23326887203885832,-0.6166530732158151,0.2912567161174502,-0.23109179699180457,0.25186092308131053,0.9567494487654766,-0.5764917103103022,Lyon
2060,-0.16438388053456285,-1.9198568609136588,-1.4279552809917104,-0.5016424808800898,-0.840819679439376,0.45695788135794774,1.1426058881970538,1.4293575600215112,1.4927315837652013,2.4634723923440123,-0.7983500556471341,0.6150826080261332,-0.0076382263486297845,-0.5764917103103022,Montpellier
2062,-0.9636366860156549,-0.06139207082588774,0.086683464211963,-0.3621746111425793,-0.4749939540808036,-0.5108630859770129,-0.5801057629598292,1.4293575600215112,1.1596708484524092,1.8118076894760435,0.9034247203188546,0.6150826080261332,-0.0076382263486297845,-0.5764917103103022,Nice
2055,1.4341217304276213,1.469108344540512,2.466830063817736,-0.7805782203551106,0.6224832219949136,-0.026952602309532562,-0.5801057629598292,-0.16542735728869262,-0.061551847694494996,0.07403514849479398,0.33616646166352504,-0.8378041317531577,1.43894328632253,1.180820247753968,St Etienne
1134,0.6348689249465291,-0.8266422785090876,-0.34607046298908656,-1.198981829567642,-1.5724711301565208,-0.5108630859770129,-0.5801057629598292,1.4293575600215112,-0.172572092798759,0.5084782837401064,-0.6565354909833018,-0.47458244680833495,-0.9720259014627363,-0.5764917103103022,Lorient
2054,0.6348689249465291,-0.8266422785090876,0.9521913186140621,-0.6411103506176001,-0.10916822872223118,-0.026952602309532562,-0.5801057629598292,-0.5641235866162436,-0.3946125830072871,-1.2292942572411432,1.3288684143103517,-0.11136076186351222,0.47455561120842343,-0.5764917103103022,Metz
2061,-0.5640102832751088,0.04792938741456938,-0.7788243901901362,0.056228998069952026,-0.10916822872223118,-0.026952602309532562,-0.5801057629598292,0.6319651013664093,-0.8386935634243431,0.9429214189854187,-0.6565354909833018,-0.11136076186351222,-0.0076382263486297845,-0.5764917103103022,Monaco
2056,0.23524252220598316,-0.280034987306802,0.5194373914130126,-0.6411103506176001,-0.840819679439376,-0.5108630859770129,-0.5801057629598292,2.226750018676613,-0.283592337903023,1.160142986608075,-0.5147209263194693,0.25186092308131053,0.9567494487654766,-0.5764917103103022,Toulouse
2050,-0.5640102832751088,-0.06139207082588774,-0.34607046298908656,0.6141004770199938,-0.4749939540808036,0.45695788135794774,1.1426058881970538,-0.16542735728869262,0.6045696229310891,0.2912567161174502,-1.5074228789662962,1.3415259779157787,-0.9720259014627363,1.180820247753968,Bordeaux
372,-0.9636366860156549,-0.9359637367495447,-0.5624474265896113,1.0325040862325252,-0.4749939540808036,0.940868365025428,-0.5801057629598292,-1.7602122745988964,-1.8378757693627192,-1.4465158248637993,-0.37290636165563695,-0.8378041317531577,0.47455561120842343,1.180820247753968,Lens
2040,-0.16438388053456285,1.2504654280595977,1.6013222094156365,-0.22270674140506885,0.9883089473534861,-0.9947735696444931,1.1426058881970538,0.6319651013664093,0.9376303582438812,1.160142986608075,2.037941237629514,-1.5642475016428032,0.9567494487654766,-0.5764917103103022,Marseille
1893,-0.16438388053456285,0.9225010533382263,-0.5624474265896113,0.19569686780746248,-1.2066454047979485,0.45695788135794774,-0.5801057629598292,0.23326887203885832,0.38252913272256106,1.5945861218533874,0.4779810263273574,0.978304292970956,0.47455561120842343,-0.5764917103103022,Caen
2063,-0.5640102832751088,-0.3893564455472591,-0.5624474265896113,0.7535683467575043,-0.10916822872223118,0.45695788135794774,1.1426058881970538,0.6319651013664093,1.0486506033481453,0.9429214189854187,1.1870538496465195,-0.47458244680833495,0.47455561120842343,-0.5764917103103022,Rennes
2057,1.0344953276870752,-0.06139207082588774,0.5194373914130126,-1.198981829567642,-0.10916822872223118,-0.5108630859770129,-0.5801057629598292,-0.16542735728869262,0.38252913272256106,-0.1431864191278622,1.4706829789741842,-0.8378041317531577,-0.489832063905683,-0.5764917103103022,Paris SG
1520,0.6348689249465291,-0.280034987306802,1.1685682822145869,-0.6411103506176001,0.25665749663634124,1.4247788486929085,1.1426058881970538,1.828053789349062,2.7139542799121057,2.8979155275893245,0.05253733233586023,-0.8378041317531577,-1.9364135765768427,-0.5764917103103022,Troyes
2049,-0.9636366860156549,0.8131795950977693,0.086683464211963,-0.5016424808800898,2.817437574146348,-0.5108630859770129,-0.5801057629598292,-0.16542735728869262,-0.061551847694494996,1.160142986608075,0.33616646166352504,0.978304292970956,0.9567494487654766,-0.5764917103103022,Angers
739,3.831880146870897,2.453001468704626,3.3323379182198347,-1.3384496993051525,0.6224832219949136,-1.4786840533119736,-0.5801057629598292,0.23326887203885832,-0.172572092798759,0.07403514849479398,1.3288684143103517,0.6150826080261332,0.9567494487654766,1.180820247753968,Ajaccio GFCO
2053,1.4341217304276213,1.1411439698191406,1.8176991730161614,0.8930362164950146,0.6224832219949136,-0.026952602309532562,-0.5801057629598292,-0.16542735728869262,-1.060734053632871,-1.2292942572411432,0.4779810263273574,-0.8378041317531577,-0.0076382263486297845,-0.5764917103103022,Dijon
1137,-1.363263088756201,-0.280034987306802,-0.9952013537906609,-2.3147247874677257,0.9883089473534861,-0.026952602309532562,-0.5801057629598292,2.625446248004164,2.6029340348078414,3.115137095211981,-0.7983500556471341,0.6150826080261332,-0.9720259014627363,-0.5764917103103022,Nancy
2032,-0.9636366860156549,1.3597868863000548,0.30306042781248776,-0.22270674140506885,-0.10916822872223118,-0.5108630859770129,-0.5801057629598292,-0.9628198159437945,0.7155898680353532,0.2912567161174502,-0.37290636165563695,-1.2010258166979804,-1.4542197390197895,-0.5764917103103022,Amiens
2064,0.23524252220598316,-0.3893564455472591,0.086683464211963,1.0325040862325252,-1.2066454047979485,0.45695788135794774,-0.5801057629598292,-1.3615160452713455,-0.172572092798759,-0.5776295543731746,0.6197955909911899,-0.47458244680833495,0.47455561120842343,1.180820247753968,Strasbourg
2059,1.4341217304276213,-0.8266422785090876,0.7358143550135373,-0.6411103506176001,-0.10916822872223118,-0.026952602309532562,-0.5801057629598292,1.0306613306939603,0.27150888761829706,0.5084782837401064,1.045239284982687,-0.11136076186351222,-0.0076382263486297845,-0.5764917103103022,Nimes
2051,-0.16438388053456285,0.3758937621359407,-0.12969349938856178,1.4509076954450564,-0.840819679439376,-0.5108630859770129,-0.5801057629598292,-0.16542735728869262,1.2706910935566733,1.5945861218533874,-0.23109179699180457,0.978304292970956,-0.9720259014627363,1.180820247753968,Brest
