,Div,Date,HomeTeam,AwayTeam,FTR,ID_FTR,AAG,AAS,AASO,AAF,AAC,AAY,AAR,HAG,HAS,HASO,HAF,HAC,HAY,HAR
54,F1,20/09/14,Nantes,Nice,H,2,0.23524252220598316,0.26657230389548364,-0.34607046298908656,-0.7805782203551106,2.4516118487877754,-0.9947735696444931,-0.5801057629598292,-0.9628198159437945,0.38252913272256106,0.07403514849479398,0.05253733233586023,-0.8378041317531577,-1.4542197390197895,-0.5764917103103022
57,F1,21/09/14,Lille,Montpellier,D,1,-0.5640102832751088,-0.17071352906634485,-0.9952013537906609,0.056228998069952026,-0.10916822872223118,-0.9947735696444931,-0.5801057629598292,-0.16542735728869262,0.04946839740976902,0.07403514849479398,0.05253733233586023,0.978304292970956,-1.4542197390197895,-0.5764917103103022
60,F1,23/09/14,Reims,Marseille,A,0,1.0344953276870752,2.0157156357427977,1.3849452458151117,1.0325040862325252,0.25665749663634124,-0.9947735696444931,-0.5801057629598292,-0.16542735728869262,-1.3937947889456632,-0.7948511219958307,-0.7983500556471341,-1.5642475016428032,-1.9364135765768427,-0.5764917103103022
62,F1,24/09/14,Bastia,Nantes,D,1,-0.5640102832751088,0.9225010533382263,0.086683464211963,0.8930362164950146,-0.10916822872223118,-1.4786840533119736,-0.5801057629598292,0.23326887203885832,-1.060734053632871,-0.5776295543731746,1.6124975436380167,-1.5642475016428032,0.9567494487654766,-0.5764917103103022
64,F1,24/09/14,Evian Thonon Gaillard,Lens,H,2,-0.16438388053456285,0.04792938741456938,0.086683464211963,0.6141004770199938,0.6224832219949136,1.4247788486929085,-0.5801057629598292,-1.3615160452713455,-1.1717542987371352,-1.8809589601091117,0.6197955909911899,-0.11136076186351222,-0.0076382263486297845,-0.5764917103103022
65,F1,24/09/14,Guingamp,Metz,A,0,0.6348689249465291,-0.17071352906634485,0.7358143550135373,0.6141004770199938,-0.4749939540808036,-0.5108630859770129,-0.5801057629598292,-0.9628198159437945,-2.0599162595712475,-0.5776295543731746,0.05253733233586023,-0.47458244680833495,-0.489832063905683,-0.5764917103103022
66,F1,24/09/14,Lyon,Lorient,H,2,-0.16438388053456285,-1.0452851949900017,-0.34607046298908656,-1.198981829567642,0.9883089473534861,-0.5108630859770129,-0.5801057629598292,-0.16542735728869262,0.7155898680353532,-0.1431864191278622,1.754312108301849,-0.11136076186351222,-0.489832063905683,-0.5764917103103022
67,F1,24/09/14,Montpellier,Monaco,A,0,-0.5640102832751088,0.48521522037639786,0.5194373914130126,-0.22270674140506885,1.7199603980706308,0.940868365025428,1.1426058881970538,-0.5641235866162436,-0.172572092798759,-1.012072689618487,0.05253733233586023,-0.11136076186351222,-0.9720259014627363,-0.5764917103103022
68,F1,24/09/14,Nice,Lille,H,2,-0.16438388053456285,-0.06139207082588774,-0.12969349938856178,0.8930362164950146,-1.2066454047979485,-1.4786840533119736,-0.5801057629598292,0.23326887203885832,0.27150888761829706,-0.3604079867505184,-0.7983500556471341,2.431191032750247,-0.9720259014627363,-0.5764917103103022
69,F1,25/09/14,St Etienne,Bordeaux,D,1,1.0344953276870752,-0.06139207082588774,-0.5624474265896113,0.3351647375449729,-0.840819679439376,-1.9625945369794537,-0.5801057629598292,-0.16542735728869262,0.27150888761829706,0.07403514849479398,-1.2237937496386313,0.25186092308131053,-0.489832063905683,-0.5764917103103022
